,date,start_time,away_team,away_pts,home_team,home_pts,attendance,stadium
0,"Tue, Oct 17, 2017",8:01p,Boston Celtics,99,Cleveland Cavaliers,102,"20,562",Quicken Loans Arena
1,"Tue, Oct 17, 2017",10:30p,Houston Rockets,122,Golden State Warriors,121,"19,596",Oracle Arena
2,"Wed, Oct 18, 2017",7:00p,Charlotte Hornets,90,Detroit Pistons,102,"20,491",Little Caesars Arena
3,"Wed, Oct 18, 2017",7:00p,Brooklyn Nets,131,Indiana Pacers,140,"15,008",Bankers Life Fieldhouse
4,"Wed, Oct 18, 2017",7:00p,Miami Heat,109,Orlando Magic,116,"18,846",Amway Center
5,"Wed, Oct 18, 2017",7:00p,Philadelphia 76ers,115,Washington Wizards,120,"20,356",Capital One Arena
6,"Wed, Oct 18, 2017",7:30p,Milwaukee Bucks,108,Boston Celtics,100,"18,624",TD Garden
7,"Wed, Oct 18, 2017",8:00p,New Orleans Pelicans,91,Memphis Grizzlies,103,"17,794",FedEx Forum
8,"Wed, Oct 18, 2017",8:30p,Atlanta Hawks,117,Dallas Mavericks,111,"19,709",American Airlines Center
9,"Wed, Oct 18, 2017",9:00p,Denver Nuggets,96,Utah Jazz,106,"17,588",Vivint Smart Home Arena
10,"Wed, Oct 18, 2017",9:30p,Minnesota Timberwolves,99,San Antonio Spurs,107,"18,418",AT&T Center
11,"Wed, Oct 18, 2017",10:00p,Portland Trail Blazers,124,Phoenix Suns,76,"18,055",Talking Stick Resort Arena
12,"Wed, Oct 18, 2017",10:00p,Houston Rockets,105,Sacramento Kings,100,"17,583",Golden 1 Center
13,"Thu, Oct 19, 2017",7:30p,Chicago Bulls,100,Toronto Raptors,117,"19,800",Air Canada Centre
14,"Thu, Oct 19, 2017",8:00p,New York Knicks,84,Oklahoma City Thunder,105,"18,203",Chesapeake Energy Arena
15,"Thu, Oct 19, 2017",10:30p,Los Angeles Clippers,108,Los Angeles Lakers,92,"18,997",STAPLES Center
16,"Fri, Oct 20, 2017",7:00p,Atlanta Hawks,91,Charlotte Hornets,109,"18,417",Spectrum Center
17,"Fri, Oct 20, 2017",7:00p,Portland Trail Blazers,114,Indiana Pacers,96,"15,325",Bankers Life Fieldhouse
18,"Fri, Oct 20, 2017",7:00p,Cleveland Cavaliers,116,Milwaukee Bucks,97,"18,717",BMO Harris Bradley Center
19,"Fri, Oct 20, 2017",7:00p,Boston Celtics,102,Philadelphia 76ers,92,"20,816",Wells Fargo Center
20,"Fri, Oct 20, 2017",7:00p,Detroit Pistons,111,Washington Wizards,115,"16,337",Capital One Arena
21,"Fri, Oct 20, 2017",7:30p,Orlando Magic,121,Brooklyn Nets,126,"16,144",Barclays Center
22,"Fri, Oct 20, 2017",8:00p,Utah Jazz,97,Minnesota Timberwolves,100,"18,978",Target Center
23,"Fri, Oct 20, 2017",8:30p,Sacramento Kings,93,Dallas Mavericks,88,"19,273",American Airlines Center
24,"Fri, Oct 20, 2017",9:30p,Golden State Warriors,128,New Orleans Pelicans,120,"18,171",Smoothie King Center
25,"Fri, Oct 20, 2017",10:00p,Los Angeles Lakers,132,Phoenix Suns,130,"18,055",Talking Stick Resort Arena
26,"Sat, Oct 21, 2017",7:30p,Philadelphia 76ers,94,Toronto Raptors,128,"19,800",Air Canada Centre
27,"Sat, Oct 21, 2017",8:00p,San Antonio Spurs,87,Chicago Bulls,77,"21,640",United Center
28,"Sat, Oct 21, 2017",8:00p,Orlando Magic,114,Cleveland Cavaliers,93,"20,562",Quicken Loans Arena
29,"Sat, Oct 21, 2017",8:00p,Dallas Mavericks,91,Houston Rockets,107,"18,055",Toyota Center
30,"Sat, Oct 21, 2017",8:00p,Golden State Warriors,101,Memphis Grizzlies,111,"17,794",FedEx Forum
31,"Sat, Oct 21, 2017",8:00p,Indiana Pacers,108,Miami Heat,112,"19,600",AmericanAirlines Arena
32,"Sat, Oct 21, 2017",8:00p,Detroit Pistons,111,New York Knicks,107,"19,812",Madison Square Garden (IV)
33,"Sat, Oct 21, 2017",8:30p,Portland Trail Blazers,110,Milwaukee Bucks,113,"16,211",BMO Harris Bradley Center
34,"Sat, Oct 21, 2017",9:00p,Sacramento Kings,79,Denver Nuggets,96,"19,520",Pepsi Center
35,"Sat, Oct 21, 2017",9:00p,Oklahoma City Thunder,87,Utah Jazz,96,"18,300",Vivint Smart Home Arena
36,"Sat, Oct 21, 2017",10:30p,Phoenix Suns,88,Los Angeles Clippers,130,"19,068",STAPLES Center
37,"Sun, Oct 22, 2017",3:30p,Atlanta Hawks,104,Brooklyn Nets,116,"13,917",Barclays Center
38,"Sun, Oct 22, 2017",7:00p,Minnesota Timberwolves,115,Oklahoma City Thunder,113,"18,203",Chesapeake Energy Arena
39,"Sun, Oct 22, 2017",9:30p,New Orleans Pelicans,119,Los Angeles Lakers,112,"18,997",STAPLES Center
40,"Mon, Oct 23, 2017",7:00p,Philadelphia 76ers,97,Detroit Pistons,86,"13,709",Little Caesars Arena
41,"Mon, Oct 23, 2017",7:30p,Atlanta Hawks,93,Miami Heat,104,"19,600",AmericanAirlines Arena
42,"Mon, Oct 23, 2017",8:00p,Memphis Grizzlies,98,Houston Rockets,90,"17,129",Toyota Center
43,"Mon, Oct 23, 2017",8:00p,Charlotte Hornets,94,Milwaukee Bucks,103,"12,887",BMO Harris Bradley Center
44,"Mon, Oct 23, 2017",8:30p,Golden State Warriors,133,Dallas Mavericks,103,"19,875",American Airlines Center
45,"Mon, Oct 23, 2017",8:30p,Toronto Raptors,97,San Antonio Spurs,101,"18,418",AT&T Center
46,"Mon, Oct 23, 2017",9:00p,Washington Wizards,109,Denver Nuggets,104,"14,294",Pepsi Center
47,"Mon, Oct 23, 2017",10:00p,Sacramento Kings,115,Phoenix Suns,117,"14,903",Talking Stick Resort Arena
48,"Tue, Oct 24, 2017",7:00p,Chicago Bulls,112,Cleveland Cavaliers,119,"20,562",Quicken Loans Arena
49,"Tue, Oct 24, 2017",7:00p,Brooklyn Nets,121,Orlando Magic,125,"16,015",Amway Center
50,"Tue, Oct 24, 2017",7:30p,New York Knicks,89,Boston Celtics,110,"18,624",TD Garden
51,"Tue, Oct 24, 2017",8:00p,Indiana Pacers,130,Minnesota Timberwolves,107,"14,353",Target Center
52,"Tue, Oct 24, 2017",10:00p,New Orleans Pelicans,93,Portland Trail Blazers,103,"19,446",Moda Center
53,"Tue, Oct 24, 2017",10:30p,Utah Jazz,84,Los Angeles Clippers,102,"16,607",STAPLES Center
54,"Wed, Oct 25, 2017",7:00p,Denver Nuggets,93,Charlotte Hornets,110,"14,253",Spectrum Center
55,"Wed, Oct 25, 2017",7:00p,Minnesota Timberwolves,101,Detroit Pistons,122,"13,790",Little Caesars Arena
56,"Wed, Oct 25, 2017",7:00p,Houston Rockets,105,Philadelphia 76ers,104,"20,682",Wells Fargo Center
57,"Wed, Oct 25, 2017",7:30p,Cleveland Cavaliers,107,Brooklyn Nets,112,"17,732",Barclays Center
58,"Wed, Oct 25, 2017",8:00p,San Antonio Spurs,117,Miami Heat,100,"19,600",AmericanAirlines Arena
59,"Wed, Oct 25, 2017",8:00p,Indiana Pacers,96,Oklahoma City Thunder,114,"18,203",Chesapeake Energy Arena
60,"Wed, Oct 25, 2017",8:30p,Memphis Grizzlies,94,Dallas Mavericks,103,"19,674",American Airlines Center
61,"Wed, Oct 25, 2017",10:00p,Utah Jazz,88,Phoenix Suns,97,"16,022",Talking Stick Resort Arena
62,"Wed, Oct 25, 2017",10:30p,Toronto Raptors,112,Golden State Warriors,117,"19,596",Oracle Arena
63,"Wed, Oct 25, 2017",10:30p,Washington Wizards,99,Los Angeles Lakers,102,"18,996",STAPLES Center
64,"Thu, Oct 26, 2017",8:00p,Atlanta Hawks,86,Chicago Bulls,91,"21,104",United Center
65,"Thu, Oct 26, 2017",8:00p,Dallas Mavericks,91,Memphis Grizzlies,96,"15,839",FedEx Forum
66,"Thu, Oct 26, 2017",8:00p,Boston Celtics,96,Milwaukee Bucks,89,"11,046",UW–Milwaukee Panther Arena
67,"Thu, Oct 26, 2017",10:00p,Los Angeles Clippers,104,Portland Trail Blazers,103,"18,694",Moda Center
68,"Thu, Oct 26, 2017",10:30p,New Orleans Pelicans,114,Sacramento Kings,106,"17,583",Golden 1 Center
69,"Fri, Oct 27, 2017",7:00p,Houston Rockets,109,Charlotte Hornets,93,"17,339",Spectrum Center
70,"Fri, Oct 27, 2017",7:00p,San Antonio Spurs,87,Orlando Magic,114,"17,337",Amway Center
71,"Fri, Oct 27, 2017",7:30p,Denver Nuggets,105,Atlanta Hawks,100,"16,220",Philips Arena
72,"Fri, Oct 27, 2017",7:30p,Brooklyn Nets,86,New York Knicks,107,"19,812",Madison Square Garden (IV)
73,"Fri, Oct 27, 2017",8:00p,Oklahoma City Thunder,116,Minnesota Timberwolves,119,"17,620",Target Center
74,"Fri, Oct 27, 2017",10:30p,Washington Wizards,117,Golden State Warriors,120,"19,596",Oracle Arena
75,"Fri, Oct 27, 2017",10:30p,Toronto Raptors,101,Los Angeles Lakers,92,"17,876",STAPLES Center
76,"Sat, Oct 28, 2017",7:00p,Cleveland Cavaliers,101,New Orleans Pelicans,123,"18,539",Smoothie King Center
77,"Sat, Oct 28, 2017",8:00p,Oklahoma City Thunder,101,Chicago Bulls,69,"21,706",United Center
78,"Sat, Oct 28, 2017",8:00p,Houston Rockets,89,Memphis Grizzlies,103,"17,033",FedEx Forum
79,"Sat, Oct 28, 2017",8:00p,Boston Celtics,96,Miami Heat,90,"19,600",AmericanAirlines Arena
80,"Sat, Oct 28, 2017",8:30p,Philadelphia 76ers,112,Dallas Mavericks,110,"19,567",American Airlines Center
81,"Sat, Oct 28, 2017",9:00p,Los Angeles Lakers,81,Utah Jazz,96,"18,306",Vivint Smart Home Arena
82,"Sat, Oct 28, 2017",10:00p,Phoenix Suns,107,Portland Trail Blazers,114,"19,343",Moda Center
83,"Sat, Oct 28, 2017",10:30p,Detroit Pistons,95,Los Angeles Clippers,87,"17,247",STAPLES Center
84,"Sun, Oct 29, 2017",3:30p,Milwaukee Bucks,117,Atlanta Hawks,106,"14,014",Philips Arena
85,"Sun, Oct 29, 2017",4:30p,San Antonio Spurs,94,Indiana Pacers,97,"15,013",Bankers Life Fieldhouse
86,"Sun, Oct 29, 2017",6:00p,Denver Nuggets,124,Brooklyn Nets,111,"14,854",Barclays Center
87,"Sun, Oct 29, 2017",6:00p,Orlando Magic,113,Charlotte Hornets,120,"15,531",Spectrum Center
88,"Sun, Oct 29, 2017",6:00p,Washington Wizards,110,Sacramento Kings,83,"17,583",Golden 1 Center
89,"Sun, Oct 29, 2017",7:00p,New York Knicks,114,Cleveland Cavaliers,95,"20,562",Quicken Loans Arena
90,"Sun, Oct 29, 2017",8:30p,Detroit Pistons,115,Golden State Warriors,107,"19,596",Oracle Arena
91,"Mon, Oct 30, 2017",7:30p,San Antonio Spurs,94,Boston Celtics,108,"18,624",TD Garden
92,"Mon, Oct 30, 2017",7:30p,Minnesota Timberwolves,125,Miami Heat,122,"19,600",AmericanAirlines Arena
93,"Mon, Oct 30, 2017",7:30p,Denver Nuggets,110,New York Knicks,116,"19,812",Madison Square Garden (IV)
94,"Mon, Oct 30, 2017",8:00p,Philadelphia 76ers,115,Houston Rockets,107,"16,714",Toyota Center
95,"Mon, Oct 30, 2017",8:00p,Charlotte Hornets,104,Memphis Grizzlies,99,"15,771",FedEx Forum
96,"Mon, Oct 30, 2017",8:00p,Orlando Magic,115,New Orleans Pelicans,99,"14,004",Smoothie King Center
97,"Mon, Oct 30, 2017",9:00p,Dallas Mavericks,89,Utah Jazz,104,"16,221",Vivint Smart Home Arena
98,"Mon, Oct 30, 2017",10:00p,Toronto Raptors,99,Portland Trail Blazers,85,"18,505",Moda Center
99,"Mon, Oct 30, 2017",10:30p,Golden State Warriors,141,Los Angeles Clippers,113,"19,068",STAPLES Center
100,"Tue, Oct 31, 2017",7:00p,Sacramento Kings,83,Indiana Pacers,101,"12,245",Bankers Life Fieldhouse
101,"Tue, Oct 31, 2017",7:30p,Phoenix Suns,122,Brooklyn Nets,114,"12,936",Barclays Center
102,"Tue, Oct 31, 2017",8:00p,Oklahoma City Thunder,110,Milwaukee Bucks,91,"16,713",BMO Harris Bradley Center
103,"Tue, Oct 31, 2017",10:30p,Detroit Pistons,93,Los Angeles Lakers,113,"17,569",STAPLES Center
104,"Wed, Nov 1, 2017",7:00p,Milwaukee Bucks,121,Charlotte Hornets,126,"15,655",Spectrum Center
105,"Wed, Nov 1, 2017",7:00p,Indiana Pacers,124,Cleveland Cavaliers,107,"20,562",Quicken Loans Arena
