,,,Round 1,Round 1,,Totals,Totals,Totals,Totals,Totals,Shooting,Shooting,Shooting,Per Game,Per Game,Per Game,Per Game,Advanced,Advanced,Advanced,Advanced
Rk,Pk,Tm,Player,College,Yrs,G,MP,PTS,TRB,AST,FG%,3P%,FT%,MP,PTS,TRB,AST,WS,WS/48,BPM,VORP
1,1,PHO,Deandre Ayton,Arizona,4,236,7247,3843,2485,380,.599,.250,.754,30.7,16.3,10.5,1.6,24.6,.163,1.1,5.7
2,2,SAC,Marvin Bagley III,Duke,4,166,4159,2256,1224,151,.501,.291,.663,25.1,13.6,7.4,0.9,7.3,.085,-2.1,-0.1
3,3,ATL,Luka Dončić,,4,264,8928,6962,2256,2102,.457,.337,.737,33.8,26.4,8.5,8.0,29.0,.156,6.8,19.8
4,4,MEM,Jaren Jackson Jr.,Michigan State,4,204,5521,3218,1050,240,.453,.351,.791,27.1,15.8,5.1,1.2,12.8,.112,0.0,2.8
5,5,DAL,Trae Young,Oklahoma,4,280,9400,7076,1085,2544,.440,.355,.873,33.6,25.3,3.9,9.1,26.3,.134,3.0,11.9
6,6,ORL,Mo Bamba,Texas,4,226,4193,1747,1372,201,.475,.352,.685,18.6,7.7,6.1,0.9,10.4,.119,0.2,2.3
7,7,CHI,Wendell Carter Jr.,Duke,4,203,5593,2476,1803,404,.513,.298,.731,27.6,12.2,8.9,2.0,13.6,.116,-0.7,1.9
8,8,CLE,Collin Sexton,Alabama,4,218,7179,4356,663,720,.458,.378,.827,32.9,20.0,3.0,3.3,5.4,.036,-2.5,-0.9
9,9,NYK,Kevin Knox,Kentucky,4,212,4010,1638,624,172,.369,.340,.705,18.9,7.7,2.9,0.8,-0.3,-.004,-4.7,-2.7
10,10,PHI,Mikal Bridges,Villanova,4,309,9661,3483,1212,639,.509,.374,.831,31.3,11.3,3.9,2.1,24.6,.122,1.1,7.5
11,11,CHO,Shai Gilgeous-Alexander,Kentucky,4,243,7724,4421,1088,1040,.473,.348,.807,31.8,18.2,4.5,4.3,17.6,.109,1.9,7.5
12,12,LAC,Miles Bridges,Michigan State,4,291,8460,3893,1641,656,.473,.346,.809,29.1,13.4,5.6,2.3,16.0,.091,-0.2,3.8
13,13,LAC,Jerome Robinson,Boston College,3,113,1604,514,208,131,.363,.310,.721,14.2,4.5,1.8,1.2,-0.1,-.003,-4.7,-1.1
14,14,DEN,Michael Porter Jr.,Missouri,3,125,3080,1763,763,133,.518,.419,.795,24.6,14.1,6.1,1.1,9.6,.150,2.1,3.1
15,15,WAS,Troy Brown Jr.,Oregon,4,221,4091,1408,836,353,.429,.337,.755,18.5,6.4,3.8,1.6,4.9,.058,-2.0,0.0
16,16,PHO,Zhaire Smith,Texas Tech,2,13,143,48,15,12,.378,.316,.667,11.0,3.7,1.2,0.9,0.0,.011,-6.1,-0.1
17,17,MIL,Donte DiVincenzo,Villanova,4,201,4751,1809,933,506,.415,.347,.766,23.6,9.0,4.6,2.5,9.2,.093,-0.2,2.2
18,18,SAS,Lonnie Walker IV,Miami (FL),4,208,4240,1952,492,330,.414,.343,.779,20.4,9.4,2.4,1.6,2.0,.022,-3.2,-1.3
19,19,ATL,Kevin Huerter,Maryland,4,274,8122,3125,958,871,.431,.379,.788,29.6,11.4,3.5,3.2,9.4,.056,-1.3,1.4
20,20,MIN,Josh Okogie,Georgia Tech,4,244,5017,1552,712,278,.403,.275,.758,20.6,6.4,2.9,1.1,5.3,.051,-2.9,-1.2
21,21,UTA,Grayson Allen,Duke,4,192,4198,1806,490,285,.433,.393,.841,21.9,9.4,2.6,1.5,8.1,.092,-0.7,1.4
22,22,CHI,Chandler Hutchison,Boise State,4,103,1790,558,376,79,.442,.309,.643,17.4,5.4,3.7,0.8,1.1,.030,-3.9,-0.9
23,23,IND,Aaron Holiday,UCLA,4,245,4460,1796,434,588,.412,.373,.840,18.2,7.3,1.8,2.4,4.7,.051,-2.3,-0.4
24,24,POR,Anfernee Simons,,4,211,4375,2144,456,420,.425,.392,.833,20.7,10.2,2.2,2.0,4.0,.043,-2.2,-0.2
25,25,LAL,Moritz Wagner,Michigan,4,196,2963,1474,682,217,.487,.321,.813,15.1,7.5,3.5,1.1,5.9,.096,-1.4,0.4
26,26,PHI,Landry Shamet,Wichita State,4,262,6094,2354,472,423,.410,.390,.835,23.3,9.0,1.8,1.6,10.6,.083,-1.8,0.3
27,27,BOS,Robert Williams,Texas A&M,4,174,3460,1255,1155,249,.728,.000,.665,19.9,7.2,6.6,1.4,18.4,.255,5.3,6.3
28,28,GSW,Jacob Evans,Cincinnati,2,59,622,168,66,54,.337,.315,.833,10.5,2.8,1.1,0.9,-0.6,-.047,-7.4,-0.8
29,29,BRK,Džanan Musa,,2,49,526,211,91,45,.376,.227,.726,10.7,4.3,1.9,0.9,0.0,.003,-4.6,-0.4
30,30,ATL,Omari Spellman,Villanova,2,95,1691,642,413,94,.417,.366,.766,17.8,6.8,4.3,1.0,2.4,.068,-1.5,0.2
31,31,PHO,Elie Okobo,,2,108,1677,523,188,242,.395,.315,.737,15.5,4.8,1.7,2.2,0.5,.014,-4.1,-0.9
32,32,MEM,Jevon Carter,West Virginia,4,223,3144,984,386,320,.386,.383,.810,14.1,4.4,1.7,1.4,4.5,.069,-1.1,0.7
33,33,DAL,Jalen Brunson,Villanova,4,277,6834,3286,843,1034,.494,.373,.800,24.7,11.9,3.0,3.7,17.3,.121,0.0,3.5
34,34,ATL,Devonte' Graham,Kansas,4,240,6708,3080,600,1203,.372,.357,.827,28.0,12.8,2.5,5.0,10.1,.072,-0.4,2.7
35,35,ORL,Melvin Frazier,Tulane,3,32,290,87,28,5,.340,.209,.533,9.1,2.7,0.9,0.2,-0.4,-.062,-10.0,-0.6
36,36,NYK,Mitchell Robinson,,4,230,5473,1941,1720,128,.722,,.540,23.8,8.4,7.5,0.6,24.8,.218,2.3,6.0
37,37,SAC,Gary Trent Jr.,Duke,4,204,5693,2752,454,287,.416,.389,.820,27.9,13.5,2.2,1.4,9.6,.081,-0.9,1.6
38,38,PHI,Khyri Thomas,Creighton,3,39,409,160,39,36,.388,.316,.750,10.5,4.1,1.0,0.9,0.5,.058,-2.7,-0.1
39,39,PHI,Isaac Bonga,,4,143,1871,439,320,118,.432,.300,.759,13.1,3.1,2.2,0.8,1.7,.044,-3.6,-0.7
40,40,BRK,Rodions Kurucs,,3,131,2103,780,406,113,.444,.329,.739,16.1,6.0,3.1,0.9,2.3,.052,-2.8,-0.4
41,41,ORL,Jarred Vanderbilt,Kentucky,4,166,3134,892,1024,175,.591,.143,.616,18.9,5.4,6.2,1.1,9.1,.140,-0.1,1.5
42,42,DET,Bruce Brown,Miami (FL),4,269,6308,2056,1153,573,.482,.327,.745,23.4,7.6,4.3,2.1,12.7,.097,-0.9,1.7
43,43,DEN,Justin Jackson,Maryland,,,,,,,,,,,,,,,,,
44,44,WAS,Issuf Sanon,,,,,,,,,,,,,,,,,,
45,45,BRK,Hamidou Diallo,Kentucky,4,207,3917,1748,813,227,.475,.277,.634,18.9,8.4,3.9,1.1,4.9,.060,-2.3,-0.3
46,46,HOU,De'Anthony Melton,USC,4,235,4853,1968,843,660,.409,.361,.766,20.7,8.4,3.6,2.8,7.7,.076,0.5,3.1
47,47,LAL,Svi Mykhailiuk,Kansas,4,220,3745,1451,395,298,.398,.353,.785,17.0,6.6,1.8,1.4,2.5,.033,-2.7,-0.7
48,48,MIN,Keita Bates-Diop,Ohio State,4,163,2448,853,490,100,.462,.304,.714,15.0,5.2,3.0,0.6,3.5,.068,-2.4,-0.2
49,49,SAS,Chimezie Metu,USC,4,143,2017,869,516,111,.463,.308,.762,14.1,6.1,3.6,0.8,2.1,.050,-2.3,-0.2
50,50,IND,Alize Johnson,Missouri State,4,72,538,182,218,31,.480,.250,.721,7.5,2.5,3.0,0.4,1.3,.120,-2.0,0.0
51,51,NOP,Tony Carr,Penn State,,,,,,,,,,,,,,,,,
52,52,UTA,Vince Edwards,Purdue,1,2,16,3,2,0,.250,.250,,8.0,1.5,1.0,0.0,0.0,-.014,-6.4,0.0
53,53,OKC,Devon Hall,Virginia,1,11,81,20,7,13,.200,.235,.500,7.4,1.8,0.6,1.2,-0.2,-.116,-6.7,-0.1
54,54,DAL,Shake Milton,SMU,4,178,3713,1731,413,454,.447,.361,.819,20.9,9.7,2.3,2.6,6.9,.090,-1.8,0.2
55,55,CHO,Arnoldas Kulboka,,1,2,5,0,0,0,.000,.000,,2.5,0.0,0.0,0.0,0.0,-.217,-21.8,0.0
56,56,PHI,Ray Spalding,Louisville,2,16,167,58,52,5,.529,.000,.286,10.4,3.6,3.3,0.3,0.1,.024,-6.2,-0.2
57,57,OKC,Kevin Hervey,UT Arlington,1,10,52,17,12,5,.259,.150,,5.2,1.7,1.2,0.5,-0.1,-.085,-5.1,0.0
58,58,DEN,Thomas Welsh,UCLA,1,11,36,18,4,5,.538,.429,.500,3.3,1.6,0.4,0.5,0.1,.162,1.2,0.0
59,59,PHO,George King,Colorado,2,5,25,1,6,0,.000,.000,.500,5.0,0.2,1.2,0.0,-0.1,-.225,-17.1,-0.1
60,60,PHI,Kostas Antetokounmpo,Dayton,3,22,87,21,23,3,.375,,.474,4.0,1.0,1.0,0.1,-0.2,-.098,-9.9,-0.2
