,player,pos,age,team_id,g,gs,mp_per_g,fg_per_g,fga_per_g,fg_pct,fg3_per_g,fg3a_per_g,fg3_pct,fg2_per_g,fg2a_per_g,fg2_pct,efg_pct,ft_per_g,fta_per_g,ft_pct,orb_per_g,drb_per_g,trb_per_g,ast_per_g,stl_per_g,blk_per_g,tov_per_g,pf_per_g,pts_per_g
0,Jay Arnette,G,27,CIN,3,,4.7,0.3,2.0,.167,,,,0.3,2.0,.167,.167,0.0,0.0,,,,0.0,0.0,,,,1.0,0.7
1,Al Attles*,PG,29,SFW,79,,26.0,4.6,9.2,.503,,,,4.6,9.2,.503,.503,1.9,3.2,.611,,,4.1,2.8,,,,3.4,11.2
2,Jim Barnes,PF,24,TOT,73,,30.0,4.8,11.2,.425,,,,4.8,11.2,.425,.425,2.9,4.2,.684,,,10.3,1.3,,,,3.9,12.4
3,Dick Barnett,SG,29,NYK,75,,34.5,8.4,17.9,.469,,,,8.4,17.9,.469,.469,6.2,8.1,.772,,,4.1,3.5,,,,3.1,23.1
4,John Barnhill,PG,27,TOT,76,,21.3,3.2,8.0,.401,,,,3.2,8.0,.401,.401,1.5,2.4,.614,,,2.7,2.6,,,,1.8,7.9
5,Rick Barry*,SF,21,SFW,80,,37.4,9.3,21.2,.439,,,,9.3,21.2,.439,.439,7.1,8.3,.862,,,10.6,2.2,,,,3.7,25.7
6,Elgin Baylor*,SF,31,LAL,65,,30.4,6.4,15.9,.401,,,,6.4,15.9,.401,.401,3.8,5.2,.739,,,9.6,3.4,,,,2.4,16.6
7,Zelmo Beaty*,C,26,STL,80,,38.4,7.7,16.3,.473,,,,7.7,16.3,.473,.473,5.3,7.0,.758,,,13.6,1.6,,,,4.3,20.7
8,Walt Bellamy*,C,26,TOT,80,,41.9,8.7,17.2,.506,,,,8.7,17.2,.506,.506,5.4,8.6,.624,,,15.7,2.9,,,,3.7,22.8
9,Al Bianchi,PG,33,PHI,78,,16.8,2.7,7.2,.382,,,,2.7,7.2,.382,.382,0.8,1.3,.673,,,1.7,1.7,,,,3.0,6.3
10,Ron Bonham,SG,23,BOS,39,,8.0,1.9,5.3,.367,,,,1.9,5.3,.367,.367,1.3,1.6,.852,,,0.9,0.3,,,,0.7,5.2
11,Bob Boozer,PF,28,LAL,78,,23.7,4.7,9.7,.484,,,,4.7,9.7,.484,.484,2.9,3.7,.779,,,7.0,1.1,,,,2.5,12.2
12,Gary Bradds,SF,23,BAL,3,,5.0,0.7,2.0,.333,,,,0.7,2.0,.333,.333,1.0,1.3,.750,,,2.7,0.3,,,,0.3,2.3
13,Jesse Branson,SF,24,PHI,5,,2.8,0.2,1.2,.167,,,,0.2,1.2,.167,.167,0.6,0.8,.750,,,1.8,0.2,,,,0.8,1.0
14,Bill Bridges,PF,26,STL,78,,34.3,4.8,11.9,.407,,,,4.8,11.9,.407,.407,3.3,4.7,.706,,,12.2,2.7,,,,4.3,13.0
15,Em Bryant,PG,27,NYK,71,,16.8,3.0,6.3,.472,,,,3.0,6.3,.472,.472,1.0,1.4,.733,,,2.4,3.0,,,,3.0,7.0
16,Bill Buntin,C,23,DET,42,,17.0,2.8,7.1,.395,,,,2.8,7.1,.395,.395,2.1,3.4,.615,,,6.0,0.9,,,,2.8,7.7
17,Donnie Butcher,PG,29,DET,15,,19.0,3.0,6.4,.469,,,,3.0,6.4,.469,.469,1.2,2.3,.529,,,2.2,2.0,,,,2.7,7.2
18,Joe Caldwell,SF,24,TOT,79,,23.5,5.2,11.9,.438,,,,5.2,11.9,.438,.438,2.3,3.2,.705,,,5.5,1.6,,,,2.6,12.7
19,Wilt Chamberlain*,C,29,PHI,79,,47.3,13.6,25.2,.540,,,,13.6,25.2,.540,.540,6.3,12.4,.513,,,24.6,5.2,,,,2.2,33.5
20,Len Chappell,PF,25,NYK,46,,11.8,2.2,5.2,.420,,,,2.2,5.2,.420,.420,1.0,1.7,.590,,,2.8,0.6,,,,1.4,5.3
21,Barry Clemens,SF,22,NYK,70,,12.5,2.3,5.6,.412,,,,2.3,5.6,.412,.412,0.8,1.1,.692,,,2.6,1.0,,,,1.6,5.4
22,Mel Counts,C,24,BOS,67,,15.2,3.3,8.2,.403,,,,3.3,8.2,.403,.403,1.8,2.2,.828,,,6.4,0.7,,,,3.1,8.4
23,Billy Cunningham*,SF,22,PHI,80,,26.7,5.4,12.6,.426,,,,5.4,12.6,.426,.426,3.5,5.5,.634,,,7.5,2.6,,,,3.8,14.3
24,Dave DeBusschere*,SF,25,DET,79,,34.1,6.6,16.3,.408,,,,6.6,16.3,.408,.408,3.2,4.8,.659,,,11.6,2.6,,,,3.2,16.4
25,Connie Dierking,C,29,CIN,57,,13.7,2.4,5.6,.416,,,,2.4,5.6,.416,.416,0.9,1.4,.610,,,4.3,0.8,,,,2.0,5.6
26,Johnny Egan,PG,27,TOT,76,,21.6,3.4,7.6,.451,,,,3.4,7.6,.451,.451,2.3,3.0,.762,,,2.4,3.6,,,,2.2,9.1
27,Leroy Ellis,C,25,LAL,80,,27.7,4.9,11.6,.424,,,,4.9,11.6,.424,.424,2.3,3.2,.727,,,9.2,0.9,,,,2.9,12.2
28,Wayne Embry*,C,28,CIN,80,,23.5,2.9,7.1,.411,,,,2.9,7.1,.411,.411,1.8,2.9,.603,,,6.6,1.0,,,,3.6,7.6
29,Keith Erickson,SF,21,SFW,64,,10.1,1.5,4.2,.356,,,,1.5,4.2,.356,.356,0.7,1.0,.662,,,2.5,0.6,,,,1.4,3.6
30,John Fairchild,SF,22,LAL,30,,5.7,0.8,3.0,.258,,,,0.8,3.0,.258,.258,0.5,0.7,.700,,,1.5,0.4,,,,1.1,2.0
31,Mike Farmer,SF,29,STL,9,,8.8,1.4,3.3,.433,,,,1.4,3.3,.433,.433,0.4,0.6,.800,,,2.0,0.7,,,,1.1,3.3
32,Bob Ferry,C,28,BAL,66,,18.6,2.8,6.9,.411,,,,2.8,6.9,.411,.411,1.6,2.4,.669,,,5.1,1.7,,,,2.0,7.3
33,Will Frazier,PF,23,SFW,2,,4.5,0.0,2.0,.000,,,,0.0,2.0,.000,.000,0.5,1.0,.500,,,2.5,0.5,,,,0.5,0.5
34,Dave Gambee,SF,28,PHI,72,,14.8,2.3,6.1,.384,,,,2.3,6.1,.384,.384,2.2,2.6,.850,,,3.8,1.0,,,,2.6,6.9
35,Tom Gola*,SG,33,NYK,74,,15.2,1.6,3.7,.450,,,,1.6,3.7,.450,.450,1.1,1.4,.781,,,3.9,2.6,,,,2.8,4.4
36,Gail Goodrich*,SG,22,LAL,65,,15.5,3.1,7.7,.404,,,,3.1,7.7,.404,.404,1.6,2.3,.691,,,2.0,1.6,,,,1.6,7.8
37,Johnny Green,PF,32,TOT,79,,20.8,4.5,8.5,.536,,,,4.5,8.5,.536,.536,2.6,4.9,.521,,,8.2,1.4,,,,2.3,11.6
38,Si Green,G-F,32,BOS,10,,9.2,1.2,3.1,.387,,,,1.2,3.1,.387,.387,0.8,1.6,.500,,,1.1,0.9,,,,1.6,3.2
39,Hal Greer*,SG,29,PHI,80,,41.6,8.8,19.8,.445,,,,8.8,19.8,.445,.445,5.2,6.4,.804,,,5.9,4.8,,,,3.9,22.7
40,Richie Guerin*,SG,33,STL,80,,29.5,5.2,12.5,.415,,,,5.2,12.5,.415,.415,4.5,5.6,.812,,,3.9,4.9,,,,3.2,14.9
41,Cliff Hagan*,SF,34,STL,74,,25.0,5.7,12.7,.445,,,,5.7,12.7,.445,.445,2.4,2.8,.854,,,3.2,2.2,,,,2.4,13.7
42,Happy Hairston,PF,23,CIN,72,,24.9,5.5,11.3,.489,,,,5.5,11.3,.489,.489,3.1,4.5,.685,,,7.6,0.6,,,,3.0,14.1
43,John Havlicek*,SF,25,BOS,71,,30.6,7.5,18.7,.399,,,,7.5,18.7,.399,.399,3.9,4.9,.785,,,6.0,3.0,,,,2.2,18.8
44,Tom Hawkins,SF,29,CIN,79,,26.9,3.5,7.6,.452,,,,3.5,7.6,.452,.452,1.5,2.6,.555,,,7.3,1.3,,,,3.5,8.4
45,Walt Hazzard,SG,23,LAL,80,,27.5,5.7,12.5,.457,,,,5.7,12.5,.457,.457,2.3,3.2,.708,,,2.7,4.9,,,,2.8,13.7
46,Fred Hetzel,SF,23,SFW,56,,12.9,2.9,7.2,.399,,,,2.9,7.2,.399,.399,1.1,1.6,.685,,,5.2,0.5,,,,2.2,6.8
47,Art Heyman,F-G,24,TOT,17,,7.1,1.1,3.1,.346,,,,1.1,3.1,.346,.346,0.8,1.3,.636,,,1.0,0.6,,,,1.4,2.9
48,Wayne Hightower,PF,26,BAL,24,,19.2,2.6,7.8,.339,,,,2.6,7.8,.339,.339,2.4,3.3,.731,,,5.5,1.5,,,,2.5,7.6
49,Bailey Howell*,PF,29,BAL,78,,29.8,6.2,12.6,.488,,,,6.2,12.6,.488,.488,5.2,7.1,.730,,,9.9,2.0,,,,3.9,17.5
50,Darrall Imhoff,C,27,LAL,77,,18.4,2.0,4.4,.448,,,,2.0,4.4,.448,.448,1.0,1.8,.566,,,6.6,1.5,,,,3.0,4.9
51,Luke Jackson,PF,24,PHI,79,,24.9,3.1,7.8,.401,,,,3.1,7.8,.401,.401,2.0,2.7,.738,,,8.6,1.7,,,,2.7,8.2
52,Gus Johnson*,SF,27,BAL,41,,31.3,6.7,16.1,.413,,,,6.7,16.1,.413,.413,3.2,4.3,.736,,,13.3,2.8,,,,3.3,16.5
53,K.C. Jones*,PG,33,BOS,80,,33.9,3.0,7.7,.388,,,,3.0,7.7,.388,.388,2.6,3.8,.690,,,3.8,6.3,,,,3.0,8.6
54,Sam Jones*,SG,32,BOS,67,,32.2,9.3,19.9,.469,,,,9.3,19.9,.469,.469,4.9,6.1,.799,,,5.2,3.2,,,,2.5,23.5
55,Wali Jones,PG,23,PHI,80,,27.5,3.7,10.0,.370,,,,3.7,10.0,.370,.370,1.6,2.2,.744,,,2.1,3.4,,,,3.1,9.0
56,Red Kerr,C,33,BAL,71,,24.9,4.0,9.7,.413,,,,4.0,9.7,.413,.413,2.9,3.8,.768,,,8.3,3.2,,,,2.1,11.0
57,Jim King,PG,24,LAL,76,,19.7,3.1,7.2,.437,,,,3.1,7.2,.437,.437,1.2,1.5,.817,,,2.7,2.9,,,,2.4,7.5
58,Don Kojis,SF,27,DET,60,,13.1,3.0,7.3,.415,,,,3.0,7.3,.415,.415,1.3,2.4,.539,,,4.3,0.7,,,,1.6,7.3
59,Howard Komives,PG,24,NYK,80,,32.7,5.5,14.0,.391,,,,5.5,14.0,.391,.391,3.0,3.5,.861,,,3.5,5.3,,,,3.5,13.9
60,Rudy LaRusso,PF,28,LAL,76,,30.5,5.4,11.8,.457,,,,5.4,11.8,.457,.457,4.6,5.9,.787,,,8.7,2.2,,,,3.4,15.4
