,player,pos,age,team_id,g,gs,mp_per_g,fg_per_g,fga_per_g,fg_pct,fg3_per_g,fg3a_per_g,fg3_pct,fg2_per_g,fg2a_per_g,fg2_pct,efg_pct,ft_per_g,fta_per_g,ft_pct,orb_per_g,drb_per_g,trb_per_g,ast_per_g,stl_per_g,blk_per_g,tov_per_g,pf_per_g,pts_per_g
0,Jim Ard,C,22,NYA,73,,14.1,2.4,5.2,.455,0.0,0.0,.000,2.4,5.2,.459,.455,1.1,1.8,.598,1.5,3.1,4.6,0.5,,,1.5,1.6,5.8
1,Walker Banks,C,23,PTC,16,,9.6,1.1,2.1,.500,0.0,0.0,,1.1,2.1,.500,.500,0.4,1.1,.412,1.2,1.9,3.1,0.5,,,1.0,2.1,2.6
2,John Barnhill,PG,32,TOT,67,,19.4,2.7,7.4,.365,0.5,2.2,.218,2.2,5.2,.427,.397,1.4,2.0,.716,0.7,1.0,1.7,2.4,,,1.2,1.6,7.3
3,Mike Barrett,PG,27,VIR,84,,32.8,5.5,11.8,.464,0.3,1.2,.272,5.1,10.5,.486,.478,2.5,3.3,.759,1.5,1.7,3.2,5.1,,,3.0,2.4,13.7
4,Rick Barry*,SF,26,NYA,59,,42.4,10.7,22.8,.469,0.3,1.5,.221,10.4,21.4,.486,.476,7.6,8.6,.890,1.8,5.0,6.8,5.0,,,3.4,3.5,29.4
5,Charles Beasley,SG,25,TOT,48,,10.6,1.2,2.8,.419,0.1,0.5,.269,1.0,2.3,.455,.445,0.8,1.0,.816,0.3,0.7,1.0,1.7,,,0.9,1.4,3.4
6,John Beasley,PF,26,TEX,83,,32.4,6.4,12.9,.497,0.2,0.7,.276,6.2,12.2,.510,.505,2.8,3.4,.828,3.7,5.6,9.2,1.8,,,1.3,2.5,15.9
7,Zelmo Beaty*,C,31,UTS,76,,38.4,8.7,15.7,.555,0.0,0.1,.500,8.7,15.6,.555,.555,5.5,7.0,.791,5.4,10.3,15.7,1.9,,,2.6,3.9,22.9
8,Byron Beck,PF,26,DNR,84,,33.9,5.8,12.3,.474,0.0,0.2,.286,5.8,12.1,.477,.476,1.9,2.2,.868,3.3,7.2,10.5,2.1,,,1.9,3.3,13.6
9,Arthur Becker,PF,29,TOT,80,,20.5,4.6,9.3,.499,0.1,0.1,.625,4.6,9.2,.498,.503,1.7,2.0,.865,1.9,3.4,5.3,0.7,,,1.0,3.3,11.0
