,player,pos,age,team_id,g,gs,mp_per_g,fg_per_g,fga_per_g,fg_pct,fg3_per_g,fg3a_per_g,fg3_pct,fg2_per_g,fg2a_per_g,fg2_pct,efg_pct,ft_per_g,fta_per_g,ft_pct,orb_per_g,drb_per_g,trb_per_g,ast_per_g,stl_per_g,blk_per_g,tov_per_g,pf_per_g,pts_per_g
0,Henry Akin,PF,24,KEN,2,,12.5,0.5,2.0,.250,0.0,1.0,.000,0.5,1.0,.500,.250,1.0,1.5,.667,0.0,2.0,2.0,0.5,,,2.0,0.0,2.0
1,Andrew Anderson,SG,23,TOT,36,,20.6,3.4,7.6,.452,0.0,0.2,.000,3.4,7.4,.462,.452,2.7,3.4,.797,1.4,1.5,2.9,1.3,,,1.5,2.1,9.6
2,Dan Anderson,C,25,TOT,62,,22.6,3.5,7.8,.455,0.0,0.0,,3.5,7.8,.455,.455,1.9,2.4,.792,3.0,4.4,7.4,1.1,,,1.3,2.8,9.0
3,Rick Barry*,SF,24,OAK,35,,38.9,11.2,21.9,.511,0.1,0.3,.300,11.1,21.6,.514,.513,11.5,13.0,.888,2.3,7.1,9.4,3.9,,,4.0,3.5,34.0
4,Charles Beasley,SG,23,DLC,75,,22.9,2.9,6.7,.435,0.0,0.2,.067,2.9,6.5,.446,.436,2.1,2.6,.839,0.3,1.8,2.1,2.8,,,1.7,2.1,8.0
5,John Beasley,PF,24,DLC,78,,39.1,7.5,15.4,.488,0.0,0.1,.300,7.5,15.3,.489,.489,4.3,5.2,.826,3.2,7.5,10.6,1.4,,,1.7,3.3,19.3
6,Byron Beck,C,24,DNR,71,,32.2,6.0,11.9,.502,0.0,0.0,.667,5.9,11.8,.501,.503,2.6,3.4,.765,3.8,7.1,11.0,1.1,,,1.3,3.5,14.5
7,Arthur Becker,SF,27,HSM,78,,31.1,5.4,11.4,.476,0.0,0.0,.000,5.4,11.3,.478,.476,2.6,3.1,.833,2.2,5.4,7.7,1.3,,,2.0,3.9,13.4
8,Bob Bedell,PF,24,DLC,42,,11.4,2.2,5.3,.416,0.0,0.0,.000,2.2,5.2,.420,.416,1.1,2.0,.571,1.0,1.8,2.8,0.7,,,0.8,1.8,5.5
9,Spider Bennett,PG,25,TOT,59,,16.8,2.5,6.5,.382,0.1,0.4,.240,2.4,6.1,.392,.390,2.4,3.7,.648,1.1,1.4,2.5,1.4,,,2.5,2.8,7.5
10,Ron Boone,SG,22,DLC,78,,34.4,6.7,15.3,.434,0.0,0.2,.133,6.6,15.2,.438,.435,5.6,6.9,.812,2.0,3.1,5.1,3.6,,,4.6,3.9,18.9
11,Tommie Bowens,PF,28,NYA,76,,20.4,2.4,6.0,.411,0.0,0.0,.000,2.4,5.9,.413,.411,1.1,1.7,.648,2.1,3.9,6.0,0.7,,,1.5,3.1,6.0
12,Gary Bradds,PF,26,OAK,75,,30.0,6.9,13.9,.497,0.0,0.1,.143,6.9,13.8,.499,.497,4.9,5.9,.820,2.6,5.1,7.7,1.2,,,2.3,3.3,18.7
13,Larry Brown*,PG,28,OAK,77,,30.9,4.0,9.2,.436,0.1,0.5,.229,3.9,8.7,.447,.442,3.9,4.9,.794,0.8,2.2,3.1,7.1,,,4.3,3.0,12.0
14,Roger Brown*,SF,26,INA,75,,35.4,7.5,15.6,.482,0.1,0.2,.313,7.4,15.4,.484,.484,5.9,7.5,.785,3.0,3.8,6.8,4.6,,,2.9,3.7,21.0
15,Brian Brunkhorst,F,23,LAS,3,,18.7,2.0,3.7,.545,0.0,0.0,,2.0,3.7,.545,.545,4.3,5.7,.765,2.0,2.3,4.3,1.0,,,1.7,2.7,8.3
16,Larry Bunce,C,23,TOT,58,,13.9,1.5,3.5,.424,0.0,0.0,,1.5,3.5,.424,.424,2.0,2.8,.691,1.3,2.7,4.0,0.3,,,1.0,2.2,4.9
17,Mike Butler,SG,22,NOB,77,,17.1,2.7,6.9,.392,0.6,2.1,.309,2.0,4.8,.429,.439,1.5,1.7,.842,0.3,1.2,1.5,2.2,,,1.5,1.7,7.5
18,Jim Caldwell,C,26,KEN,65,,19.0,2.6,5.9,.438,0.0,0.1,.111,2.6,5.7,.446,.440,1.3,2.0,.674,2.0,4.5,6.5,2.0,,,1.5,3.2,6.5
19,Frank Card,SF,24,MNP,76,,21.0,2.9,7.1,.413,0.0,0.1,.200,2.9,7.0,.415,.414,1.9,3.2,.598,2.4,3.1,5.5,1.1,,,1.4,2.0,7.8
20,Don Carlos,SG,24,HSM,56,,27.3,3.7,9.0,.410,0.0,0.1,.000,3.7,9.0,.412,.410,3.8,5.1,.756,2.2,2.8,5.0,2.8,,,2.5,4.1,11.2
21,Darel Carrier,SG,28,KEN,73,,39.2,7.7,18.8,.406,1.7,4.5,.379,5.9,14.3,.415,.452,6.1,7.5,.820,1.0,2.8,3.9,2.9,,,2.9,3.1,23.2
22,Wayne Chapman,SF,23,KEN,48,,9.5,1.4,4.2,.337,0.1,0.3,.308,1.3,3.9,.339,.347,1.1,1.5,.750,0.6,0.9,1.5,0.8,,,0.8,2.0,4.0
23,Stephen Chubin,SG,24,TOT,77,,27.2,4.5,11.4,.393,0.0,0.4,.111,4.4,11.0,.402,.395,5.0,6.1,.818,1.8,2.0,3.8,4.6,,,3.7,3.7,14.0
24,Richard Clark,SG,25,HSM,32,,22.6,2.0,6.9,.288,0.0,0.3,.125,2.0,6.7,.294,.291,2.8,3.9,.718,0.9,1.8,2.8,2.1,,,2.3,3.1,6.8
